url,price,mileage
https://www.car.info/sv-se/car-for-sale/volvo-v70-t4-powershift-180ps-2012-51146878,95000,24418
https://www.car.info/sv-se/car-for-sale/volvo-v70-t4-powershift-180ps-2011-51040108,50000,20413
https://www.car.info/sv-se/car-for-sale/volvo-v70-t4-powershift-180ps-2012-50918017,80000,21692
https://www.car.info/sv-se/car-for-sale/volvo-v70-t4-powershift-180ps-2011-50639496,64900,30371
https://www.car.info/sv-se/car-for-sale/volvo-v70-t4-powershift-180ps-2013-50588629,114999,21246
https://www.car.info/sv-se/car-for-sale/volvo-v70-t4-powershift-180ps-2011-50490000,0,29675
https://www.car.info/sv-se/car-for-sale/volvo-v70-t4-powershift-180ps-2011-50221215,76000,28728
